mkl	openblas pthreads iteration
4288	4281	127620	157036
4292	4287	111542	159900
4348	4338	118969	154492
4294	4318	110998	155887
4283	4305	107172	155863
4305	4280	111332	155776
4272	4280	113204	155372
4281	4271	109036	158963
4266	4278	112660	160022
4270	4259	118454	156710
4264	4265	116727	154921
4408	4434	107332	154054
4514	4962	111589	158793
4351	4325	113003	159218
4310	4287	108903	155388
4280	4279	110384	157133
4305	4279	110360	156454
4271	4270	112612	155263
4267	4302	113541	156802
4262	4266	105980	153675
4278	4266	108447	156590
4263	4272	110155	155263
4269	4311	110320	157254
4269	4286	112235	155779
4283	4266	111481	157028
4278	4276	110486	155540
4269	4281	113669	155010
4271	4265	111100	154841
4284	4306	112728	155860
4271	4277	107269	155783
4287	4294	111996	156090
4275	4282	107104	156057
4273	4275	111281	155602
4266	4259	109527	154929
4264	4298	114420	154977
4266	4259	111707	155810
4300	4263	108221	155990
4318	4261	114207	156489
4307	4281	112986	157054
4267	4269	110751	156007
4272	4260	108780	155471
4261	4265	109536	156089
4268	4288	112536	154151
4261	4265	109419	155463
4264	4263	108443	156406
4260	4263	108378	155261
4257	4278	109381	155384
4262	4268	111922	156258
4261	4262	108085	155436
4266	4263	109726	155799
4276	4266	109060	154780
4266	4264	108807	155655
4268	4265	113528	155064
4268	4258	110840	156318
4262	4285	113078	156293
4265	4261	108881	156760
4265	4258	108567	159803
4268	4260	109350	156028
4259	4270	110572	154810
4264	4258	112994	155162
4259	4258	108076	156608
4265	4263	106801	155494
4257	4279	112570	155622
4267	4261	111855	155514
4267	4270	110553	155419
4269	4257	110427	154483
4260	4290	110800	157045
4264	4265	109574	156674
4287	4271	111195	155994
4266	4262	110032	155393
4260	4281	114138	155122
4298	4265	111178	155259
4479	4450	103991	156367
4284	4284	110734	156143
4278	4304	114303	156672
4285	4285	113653	159708
4278	4276	108192	155589
4323	4265	109403	154872
4279	4282	110701	155653
4271	4277	111942	155390
4257	4258	111826	159319
4281	4260	113349	156191
4272	4261	112684	155633
4350	4258	115391	156003
4417	4259	113484	154973
4330	4261	112076	156473
4265	4264	109672	155395
4263	4264	113589	155881
4260	4256	113364	155993
4279	4262	114027	154530
4260	4260	117367	154784
4261	4262	110022	156107
4269	4264	119081	157239
4271	4317	124154	155479
4264	4260	118678	155359
4268	4266	115929	155446
4279	4270	112473	155438
4280	4259	116423	154071
4260	4257	115580	159511
4282	4258	115428	156466

